Date,Sales,Post,Image,Likes,Comments,Shares
1/2/2017,3274.132,0,0,0,0,0
1/3/2017,3216.918,0,0,0,0,0
1/4/2017,3367.194,0,0,0,0,0
1/5/2017,3313.034,0,0,0,0,0
1/6/2017,3281.882,1,1,2,0,0
1/7/2017,3206.144,1,1,2,0,0
1/9/2017,3237.478,0,0,0,0,0
1/10/2017,3305.168,0,0,0,0,0
1/11/2017,3281.73,0,0,0,0,0
1/12/2017,3310.934,0,0,0,0,0
1/13/2017,3624.948,0,0,0,0,0
1/14/2017,3482.432,0,0,0,0,0
1/16/2017,3343.318,0,0,0,0,0
1/17/2017,3273.708,0,0,0,0,0
1/18/2017,3325.804,0,0,0,0,0
1/19/2017,3282.588,1,1,0,0,0
1/20/2017,3654.008,0,0,0,0,0
1/21/2017,3546.352,1,1,1,0,0
1/23/2017,3267.814,0,0,0,0,0
1/24/2017,3294.512,0,0,0,0,0
1/25/2017,3246.832,0,0,0,0,0
1/26/2017,3313.734,0,0,0,0,0
1/27/2017,3689.436,0,0,0,0,0
1/28/2017,3458.794,0,0,0,0,0
1/30/2017,3303.726,0,0,0,0,0
1/31/2017,3278.556,0,0,0,0,0
2/1/2017,3414.692,0,0,0,0,0
2/2/2017,3294.138,0,0,0,0,0
2/3/2017,3464.314,0,0,0,0,0
2/4/2017,3534.546,0,0,0,0,0
2/6/2017,3281.764,0,0,0,0,0
2/7/2017,3196.898,0,0,0,0,0
2/8/2017,3296.778,0,0,0,0,0
2/9/2017,3290.564,0,0,0,0,0
2/10/2017,3536.722,0,0,0,0,0
2/11/2017,3483.05,0,0,0,0,0
2/13/2017,3338.752,0,0,0,0,0
2/14/2017,3559.834,1,1,6,0,0
2/15/2017,3431.63,0,0,0,0,0
2/16/2017,3427.988,0,0,0,0,0
2/17/2017,3571.67,0,0,0,0,0
2/18/2017,3508.02,0,0,0,0,0
2/20/2017,3348.186,0,0,0,0,0
2/21/2017,3270.876,0,0,0,0,0
2/22/2017,3298.076,0,0,0,0,0
2/23/2017,3347.084,0,0,0,0,0
2/24/2017,3576.402,0,0,0,0,0
2/25/2017,3479.504,0,0,0,0,0
2/27/2017,3223.594,0,0,0,0,0
2/28/2017,3316.05,0,0,0,0,0
3/1/2017,3378.79,0,0,0,0,0
3/2/2017,3326.286,0,0,0,0,0
3/3/2017,3669.108,0,0,0,0,0
3/4/2017,3494.79,0,0,0,0,0
3/6/2017,3307.258,0,0,0,0,0
3/7/2017,3369.994,0,0,0,0,0
3/8/2017,3478.164,0,0,0,0,0
3/9/2017,3496.606,0,0,0,0,0
3/10/2017,3705.932,0,0,0,0,0
3/11/2017,3275.268,0,0,0,0,0
3/13/2017,3297.57,0,0,0,0,0
3/14/2017,3316.43,0,0,0,0,0
3/15/2017,3451.708,0,0,0,0,0
3/16/2017,3355.946,0,0,0,0,0
3/17/2017,3526.288,1,1,19,1,0
3/18/2017,3639.066,0,0,0,0,0
3/20/2017,3360.392,0,0,0,0,0
3/21/2017,3373.24,0,0,0,0,0
3/22/2017,3662.628,0,0,0,0,0
3/23/2017,3263.424,0,0,0,0,0
3/24/2017,3654.282,0,0,0,0,0
3/25/2017,3489.518,0,0,0,0,0
3/27/2017,3334.602,0,0,0,0,0
3/28/2017,3384.762,1,1,9,1,0
3/29/2017,3464.482,0,0,0,0,0
3/30/2017,3329.322,1,1,36,2,0
3/31/2017,3581.432,0,0,0,0,0
4/1/2017,3545.762,0,0,0,0,0
4/3/2017,3279.646,0,0,0,0,0
4/4/2017,3276.594,0,0,0,0,0
4/5/2017,3360.222,0,0,0,0,0
4/6/2017,3328.174,0,0,0,0,0
4/7/2017,3643.388,1,1,2,0,0
4/8/2017,3678.09,0,0,0,0,0
4/10/2017,3351.59,0,0,0,0,0
4/11/2017,3421.688,0,0,0,0,0
4/12/2017,3495.62,0,0,0,0,0
4/13/2017,3379.138,0,0,0,0,0
4/14/2017,3535.416,0,0,0,0,0
4/15/2017,3435.526,0,0,0,0,0
4/17/2017,3251.702,1,0,2,0,0
4/18/2017,3415.87,1,1,12,0,0
4/19/2017,3368.9,1,1,0,0,0
4/20/2017,3455.794,1,1,3,0,0
4/21/2017,3678.076,1,1,2,0,0
4/22/2017,3650.596,0,0,0,0,0
4/24/2017,3296.36,1,0,3,0,0
4/25/2017,3359.34,0,0,0,0,0
4/26/2017,3414.634,0,0,0,0,0
4/27/2017,3444.546,0,0,0,0,0
4/28/2017,3586.236,1,1,16,1,0
4/29/2017,3592.678,0,0,0,0,0
5/1/2017,3437.55,1,1,2,0,0
5/2/2017,3301.362,0,0,0,0,0
5/3/2017,3450.57,0,0,0,0,0
5/4/2017,3341.552,0,0,0,0,0
5/5/2017,3669.75,1,1,4,0,0
5/6/2017,3649.33,0,0,0,0,0
5/8/2017,3339.65,0,0,0,0,0
5/9/2017,3374.458,0,0,0,0,0
5/10/2017,3408.576,0,0,0,0,0
5/11/2017,3392.222,1,1,16,0,0
5/12/2017,3642.564,0,0,0,0,0
5/13/2017,3589.644,0,0,0,0,0
5/15/2017,3413.984,0,0,0,0,0
5/16/2017,3384.548,0,0,0,0,0
5/17/2017,3353.612,0,0,0,0,0
5/18/2017,3458.748,0,0,0,0,0
5/19/2017,3733.552,1,1,2,0,0
5/20/2017,3484.224,0,0,0,0,0
5/22/2017,3565.24,0,0,0,0,0
5/23/2017,3369.054,0,0,0,0,0
5/24/2017,3360.224,0,0,0,0,0
5/25/2017,3445.05,0,0,0,0,0
5/26/2017,3468.796,1,1,15,0,0
5/27/2017,3569.782,0,0,0,0,0
5/30/2017,3312.208,0,0,0,0,0
5/31/2017,3448.69,0,0,0,0,0
6/1/2017,3429.536,0,0,0,0,0
6/2/2017,3501.052,0,0,0,0,0
6/3/2017,3563.51,0,0,0,0,0
6/5/2017,3320.434,0,0,0,0,0
6/6/2017,3384.354,0,0,0,0,0
6/7/2017,3348.296,0,0,0,0,0
6/8/2017,3416.476,1,1,7,0,0
6/9/2017,3622.858,0,0,0,0,0
6/10/2017,3520.916,0,0,0,0,0
6/12/2017,3409.68,0,0,0,0,0
6/13/2017,3513.69,0,0,0,0,0
6/14/2017,3309.924,0,0,0,0,0
6/15/2017,3496.898,0,0,0,0,0
6/16/2017,3545.256,0,0,0,0,0
6/17/2017,3526.756,0,0,0,0,0
6/19/2017,3358.448,0,0,0,0,0
6/20/2017,3383.908,0,0,0,0,0
6/21/2017,3381.148,0,0,0,0,0
6/22/2017,3572.646,0,0,0,0,0
6/23/2017,3648.856,0,0,0,0,0
6/24/2017,3473.522,0,0,0,0,0
6/26/2017,3335.836,0,0,0,0,0
6/27/2017,3419.902,0,0,0,0,0
6/28/2017,3486.208,0,0,0,0,0
6/29/2017,3460.802,0,0,0,0,0
6/30/2017,3843.56,0,0,0,0,0
7/1/2017,3622.366,0,0,0,0,0
7/3/2017,3583.042,0,0,0,0,0
7/5/2017,3313.114,0,0,0,0,0
7/6/2017,3379.648,0,0,0,0,0
7/7/2017,3576.22,1,1,7,2,0
7/8/2017,3601.17,0,0,0,0,0
7/10/2017,3424.574,0,0,0,0,0
7/11/2017,3437.76,0,0,0,0,0
7/12/2017,3443.454,0,0,0,0,0
7/13/2017,3483.794,0,0,0,0,0
7/14/2017,3803.516,0,0,0,0,0
7/15/2017,3536.988,0,0,0,0,0
7/17/2017,3458.79,0,0,0,0,0
7/18/2017,3468.03,0,0,0,0,0
7/19/2017,3408.458,0,0,0,0,0
7/20/2017,3531.902,0,0,0,0,0
7/21/2017,3858.136,0,0,0,0,0
7/22/2017,4324.39,0,0,0,0,0
7/24/2017,3390.856,0,0,0,0,0
7/25/2017,3520.264,0,0,0,0,0
